Year,Month,Day,Sampling_date_order,plot,Species,Abundance,Presence,Latitude,Longitude,normalized_temperature,normalized_precipitation
2010,1,16,1,1,BA,0,0,35.0,-110.0,0.8098697511120628,-0.29038069990736237
2010,1,16,1,2,BA,0,0,35.0,-109.5,-1.125226804422798,0.750317268516065
2010,1,16,1,8,BA,0,0,35.5,-109.5,-1.1077476186003736,-1.8758325543505368
2010,1,16,1,9,BA,0,0,35.5,-109.0,-0.4184170254475679,0.0964910606673652
2010,1,16,1,11,BA,0,0,35.5,-108.0,0.2878922714450389,-0.027207899246509133
2010,1,16,1,14,BA,0,0,36.0,-109.5,0.22998125254802904,1.6018233726862532
2010,1,16,1,17,BA,0,0,36.0,-108.0,-0.4232047726196424,-0.7532444236744406
2010,1,16,1,22,BA,0,0,36.5,-108.5,-1.3593178516351943,0.8676897266347421
2010,1,16,1,6,BA,0,0,35.0,-107.5,0.06922825510768822,-1.114835743563437
2010,1,16,1,13,BA,0,0,36.0,-110.0,-0.1180119580470751,-0.2452053174847071
2010,1,16,1,15,BA,0,0,36.0,-109.0,1.2218717007925621,0.43778450510075306
2010,1,16,1,20,BA,0,0,36.5,-109.5,0.2932316934967085,-0.7148431625641266
2010,1,16,1,21,BA,0,0,36.5,-109.0,-0.031625855212032,0.04222747851839402
2010,1,16,1,5,BA,0,0,35.0,-108.0,0.31620669009667207,1.639477734012448
2010,1,16,1,23,BA,0,0,36.5,-108.0,-2.1680856799526285,0.1791317228248686
2010,2,13,2,1,BA,0,0,35.0,-110.0,-0.8926617532047091,-0.7656006532658167
2010,2,13,2,2,BA,0,0,35.0,-109.5,0.855937019133814,1.7633830123097176
2010,2,13,2,4,BA,0,0,35.0,-108.5,0.342219392259445,0.7641834832599652
2010,2,13,2,8,BA,0,0,35.5,-109.5,-0.3200537191826683,1.4134667277742776
2010,2,13,2,9,BA,0,0,35.5,-109.0,-0.3386837220862604,0.8866036761102697
2010,2,13,2,11,BA,0,0,35.5,-108.0,2.01263820472727,-0.39542505486246665
2010,2,13,2,12,BA,0,0,35.5,-107.5,0.76650570773035,0.5843413965810732
2010,2,13,2,14,BA,0,0,36.0,-109.5,0.1802946937371897,1.0135482932640123
2010,2,13,2,22,BA,0,0,36.5,-108.5,2.033488095112717,0.5876328520590414
2010,2,13,2,3,BA,0,0,35.0,-109.0,-0.12835136177716097,-0.2979447276400653
2010,2,13,2,6,BA,0,0,35.0,-107.5,0.4702275578620051,-1.6004510928739926
2010,2,13,2,15,BA,0,0,36.0,-109.0,-1.5310309623604996,-0.13767032720261338
2010,2,13,2,21,BA,0,0,36.5,-109.0,0.60120338769699,-0.7168501956380439
2010,2,13,2,7,BA,0,0,35.5,-110.0,-2.0592958720996886,0.7756074623394204
2010,2,13,2,16,BA,0,0,36.0,-108.5,-0.8304897037502842,0.6063176341615113
2010,3,13,3,1,BA,0,0,35.0,-110.0,1.9068995158088644,0.003188997079556811
2010,3,13,3,2,BA,0,0,35.0,-109.5,0.6608550638044399,2.0400190068121926
2010,3,13,3,4,BA,0,0,35.0,-108.5,0.36514812628391746,0.26580608771226677
2010,3,13,3,8,BA,0,0,35.5,-109.5,0.7874410625028594,-0.44075444410344417
